Data extracted from	"GEN3-1289"	"/LOG/2021/09/14/GEN3-1289_0253.gen"
Experiment:	"initial T gblock vs T 1* primer"
Time:	14 September 2021 16:31
User:	""
Kit:	""



"DATA"	"Amplification"	"Normalised"
77	"Rows"	16	"Columns"
0	0	1	1	2	2	3	3	4	4	5	5	6	6	7	7	
Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	
s		s		s		s		s		s		s		s		
60.336	229.875	60.336	187	60.336	220.625	60.336	218.625	60.336	220.875	60.336	235.125	60.336	327.375	60.336	144.375	
75.335	76.875	75.335	105	75.335	103.625	75.335	137.625	75.335	102.875	75.335	113.125	75.335	213.375	75.335	134.375	
90.335	67.875	90.335	44	90.335	68.625	90.335	52.625	90.335	26.875	90.335	40.125	90.335	170.375	90.335	22.375	
105.335	-5.125	105.335	1	105.335	-11.375	105.335	-20.375	105.335	-31.125	105.335	-25.875	105.335	-81.625	105.335	13.375	
120.335	-39.125	120.335	8	120.335	-45.375	120.335	-3.375	120.335	-10.125	120.335	-56.875	120.335	-97.625	120.335	-40.625	
135.335	-89.125	135.335	-52	135.335	-82.375	135.335	-42.375	135.335	-42.125	135.335	-43.875	135.335	-127.625	135.335	-43.625	
150.336	-97.125	150.336	-103	150.336	-133.375	150.336	-127.375	150.336	-148.125	150.336	-131.875	150.336	-198.625	150.336	-62.625	
165.335	-144.125	165.335	-190	165.335	-120.375	165.335	-215.375	165.335	-119.125	165.335	-129.875	165.335	-205.625	165.335	-167.625	
180.335	-134.125	180.335	-178	180.335	-190.375	180.335	-248.375	180.335	-236.125	180.335	-164.875	180.335	-284.625	180.335	-141.625	
195.335	-195.125	195.335	-134	195.335	-226.375	195.335	-204.375	195.335	-211.125	195.335	-186.875	195.335	-282.625	195.335	-189.625	
210.335	-145.125	210.335	-189	210.335	-191.375	210.335	-261.375	210.335	-250.125	210.335	-187.875	210.335	-309.625	210.335	-209.625	
225.335	-263.125	225.335	-269	225.335	-317.375	225.335	-273.375	225.335	-332.125	225.335	-272.875	225.335	-341.625	225.335	-222.625	
240.336	-275.125	240.336	-286	240.336	-346.375	240.336	-400.375	240.336	-342.125	240.336	-309.875	240.336	-415.625	240.336	-235.625	
255.335	-397.125	255.335	-390	255.335	-389.375	255.335	-448.375	255.335	-443.125	255.335	-373.875	255.335	-445.625	255.335	-357.625	
270.335	-440.125	270.335	-342	270.335	-429.375	270.335	-440.375	270.335	-491.125	270.335	-431.875	270.335	-440.625	270.335	-296.625	
285.335	-369.125	285.335	-347	285.335	-421.375	285.335	-508.375	285.335	-436.125	285.335	-397.875	285.335	-405.625	285.335	-336.625	
300.335	-437.125	300.335	-375	300.335	-453.375	300.335	-447.375	300.335	-481.125	300.335	-406.875	300.335	-466.625	300.335	-315.625	
315.335	-381.125	315.335	-335	315.335	-412.375	315.335	-501.375	315.335	-425.125	315.335	-405.875	315.335	-442.625	315.335	-357.625	
330.336	-414.125	330.336	-390	330.336	-477.375	330.336	-454.375	330.336	-497.125	330.336	-400.875	330.336	-486.625	330.336	-314.625	
345.336	-421.125	345.336	-394	345.336	-441.375	345.336	-513.375	345.336	-500.125	345.336	-426.875	345.336	-474.625	345.336	-326.625	
360.335	-421.125	360.335	-407	360.335	-471.375	360.335	-479.375	360.335	-444.125	360.335	-415.875	360.335	-445.625	360.335	-375.625	
375.335	-456.125	375.335	-401	375.335	-546.375	375.335	-508.375	375.335	-479.125	375.335	-422.875	375.335	-489.625	375.335	-311.625	
390.335	-361.125	390.335	-342	390.335	-446.375	390.335	-464.375	390.335	-478.125	390.335	-411.875	390.335	-457.625	390.335	-293.625	
405.335	-361.125	405.335	-304	405.335	-400.375	405.335	-407.375	405.335	-425.125	405.335	-297.875	405.335	-422.625	405.335	-304.625	
420.335	-345.125	420.335	-293	420.335	-490.375	420.335	-385.375	420.335	-410.125	420.335	-330.875	420.335	-424.625	420.335	-314.625	
435.336	-379.125	435.336	-376	435.336	-397.375	435.336	-425.375	435.336	-470.125	435.336	-357.875	435.336	-450.625	435.336	-334.625	
450.337	-434.125	450.337	-311	450.337	-507.375	450.337	-452.375	450.337	-557.125	450.337	-385.875	450.337	-459.625	450.337	-319.625	
465.335	-396.125	465.335	-401	465.335	-453.375	465.335	-528.375	465.335	-517.125	465.335	-442.875	465.335	-551.625	465.335	-358.625	
480.335	-436.125	480.335	-417	480.335	-419.375	480.335	-557.375	480.335	-580.125	480.335	-491.875	480.335	-531.625	480.335	-401.625	
495.335	-439.125	495.335	-455	495.335	-441.375	495.335	-581.375	495.335	-584.125	495.335	-479.875	495.335	-555.625	495.335	-482.625	
510.335	-366.125	510.335	-400	510.335	-384.375	510.335	-542.375	510.335	-582.125	510.335	-555.875	510.335	-552.625	510.335	-453.625	
